red_fighter_name,blue_fighter_name,winner,winner_encoded
Gilbert Burns,Michael Morales,Blue,0
Sodiq Yusuff,Mairon Santos,Blue,0
Dustin Stoltzfus,Nursulton Ruziboev,Blue,0
Julian Erosa,Melquizael Costa,Blue,0
Gabe Green,Matheus Camilo,Red,1
Jared Gordon,Thiago Moises,Red,1
Yadier del Valle,Connor Matthews,Red,1
Luana Santos,Tainara Lisboa,Red,1
Elise Reed,Denise Gomes,Blue,0
HyunSung Park,Carlos Hernandez,Red,1
Tecia Pennington,Luana Pinheiro,Red,1
Belal Muhammad,Jack Della Maddalena,Blue,0
Valentina Shevchenko,Manon Fiorot,Red,1
Jose Aldo,Aiemann Zahabi,Blue,0
Alexa Grasso,Natalia Silva,Blue,0
Benoit Saint Denis,Kyle Prepolec,Red,1
Mike Malott,Charles Radtke,Red,1
Jessica Andrade,Jasmine Jasudavicius,Blue,0
Modestas Bukauskas,Ion Cutelaba,Red,1
Navajo Stirling,Ivan Erslan,Red,1
Marc-Andre Barriault,Bruno Silva,Red,1
Daniel Santos,JeongYeong Lee,Red,1
Brad Katona,Bekzat Almakhan,Blue,0
Cory Sandhagen,Deiveson Figueiredo,Red,1
Reinier de Ridder,Bo Nickal,Red,1
Santiago Ponzinibbio,Daniel Rodriguez,Blue,0
Montel Jackson,Daniel Marcos,Red,1
Cameron Smotherman,Serhiy Sidey,Blue,0
Jeremy Stephens,Mason Jones,Blue,0
Yana Santos,Miesha Tate,Red,1
Ryan Loder,Azamat Bekoev,Blue,0
Marina Rodriguez,Gillian Robertson,Blue,0
Gaston Bolanos,Quang Le,Blue,0
Thomas Petersen,Don'Tale Mayes,Red,1
Juliana Miller,Ivana Petrovic,Red,1
Ian Machado Garry,Carlos Prates,Red,1
Anthony Smith,Zhang Mingyang,Blue,0
Giga Chikadze,David Onama,Blue,0
Michel Pereira,Abus Magomedov,Blue,0
Randy Brown,Nicolas Dalby,Red,1
Ikram Aliskerov,Andre Muniz,Red,1
